,name,addr
64,桂林易鑫体验店（汽车城店）,广西省桂林市临桂区机场路真龙汽车城内
65,桂林易鑫体验店（秀峰区）,桂林市秀峰区甲山街道办事处唐家村汽车交易市场1栋1号门
66,哈尔滨易鑫体验店（道里区）,哈尔滨市道里区埃德蒙顿路201号
67,哈尔滨易鑫体验店（道外区）,黑龙江省哈尔滨市道外区先锋路99号
68,海口易鑫体验店,海口市龙华区南海大道117号南海幸福城5号铺面
69,邯郸易鑫体验店,河北省邯郸市时代汽车广场c馆
70,汉中易鑫体验店,陕西省汉中市汉台区石马路大蓝鹰加油站向东50米
71,杭州易鑫体验店（滨江区）,浙江省杭州市滨江区滨康路105号
72,杭州易鑫体验店（萧山区）,浙江世纪汽车市场2-5，2-6号
73,合肥易鑫体验店（包河区）,安徽省合肥市包河区马鞍山路与南一环东周谷堆汽车城A4展厅
74,合肥易鑫体验店（双凤开发区）,安徽省合肥市双凤开发区淮南北路宝湾国际汽车城
75,河源易鑫体验店,广东省河源市源城区源南镇风光205国道东边桂山旅游大道南A1
76,菏泽易鑫体验店（曹县）,山东省菏泽市曹县青菏中路东50米中国北方木艺博物馆一楼
77,菏泽易鑫体验店（汽车市场）,山东省菏泽市汽车大市场院
78,贺州易鑫体验店,广西省贺州市八步金龙摩托车城A座7、8、10号
79,衡阳易鑫体验店,湖南省衡阳市石鼓区中亿汽贸城38栋
80,呼和浩特易鑫体验店（回民区）,内蒙古呼和浩特市回民区海西路同创汽车城东三展厅
81,呼和浩特易鑫体验店（玉泉区）,内蒙古自治区呼和浩特市玉泉区南二环与西二环交汇处北浩汽车城C区
82,呼伦贝尔易鑫体验店,内蒙古自治区呼伦贝尔市海拉尔区海晨水岸花园19号楼淘车体验店
83,黄冈易鑫体验店,黄冈市黄州区路口大道蓝天汽车城内
84,黄石易鑫体验店,黄石市花湖开发区鄂东国际汽车城A5-2
85,惠州易鑫体验店（惠城区）,广东省惠州市惠城区惠博大道金山汽车城二期12号展厅
86,惠州易鑫体验店（惠东县）,广东省惠州市惠东县吉隆镇埔仔村地段广汕路边
87,惠州易鑫体验店（惠南汽车城）,广东省惠州市惠城区三栋镇数码工业园惠南汽车城
88,惠州易鑫体验店（名车城）,广东省惠州市大湖溪惠州大道南爱车族名车城
89,惠州易鑫体验店（仲恺新区）,广东省惠州市仲恺新区陈江街道横一路2号仲恺汽车城第2栋第A11号
90,鸡西易鑫体验店,黑龙江省鸡西市城子河区佳和路2号
91,济南易鑫体验店（槐荫区）,山东省济南市槐荫区经十西路2300号
92,济南易鑫体验店（历下区）,济南市历下区奥体西路与花园路东路交接口往北500米路西
93,济南易鑫体验店（长清区）,山东省济南市长清区济南经济开发区平安南路5666号C厅
94,济宁易鑫体验店（高新区）,山东省济宁市高新区东外环路与太白路交汇处南888米路西
95,济宁易鑫体验店（邹城市）,山东省济宁市邹城市国宏大道6369号鲁南汽车城
96,嘉兴易鑫体验店,嘉兴汽车商贸园品牌区 6 号
97,江门易鑫体验店（鹤山市）,广东省江门市鹤山市雅瑶镇石湖上西村口
98,江门易鑫体验店（江海区）,广东省江门市江海区利生车城南区A座A10-A11
99,揭阳易鑫体验店,广东省揭阳市榕城区新阳路新河健身广场对面
100,金华易鑫体验店（婺城区）,金华市婺城区东市北街1288号
101,锦州易鑫体验店,辽宁省锦州市渤海大道 158 号
102,晋城易鑫体验店,山西省晋城市城区中原西街2688号
103,荆门易鑫体验店,牌楼镇鄂中经济循环城B-3栋
104,荆州易鑫体验店,湖北省荆州市沙市区北湖路11号
105,九江易鑫体验店,江西省九江市国际汽车城9栋28号
106,喀什易鑫体验店（疏勒县）,新疆维吾尔自治区喀什地区疏勒县南疆齐鲁工业园区（315国道旁）
107,开封易鑫体验店（祥符区）,河南省开封市祥符区深圳大道南段祥符汽车园
108,凯里易鑫体验店,贵州省凯里市经济开发区经纬国际汽车城B区21栋易鑫车贷体验店
109,库尔勒易鑫体验店,新疆省库尔勒市石化大道北侧74号小区发达路
110,昆明易鑫体验店（五华区）,云南省昆明市五华区二环西路625号云铜科技园思普科技大楼A座1楼
111,莱芜易鑫体验店,莱芜市龙潭东大街吕花园工业园(火车站桥东600米）
112,兰州易鑫体验店,甘肃省兰州市城关区盐场路165号西北汽车商城院内西侧20号展厅
113,廊坊易鑫体验店,廊坊市广阳区爱民道与东安路交叉口北50米
114,丽水易鑫体验店,浙江省丽水市莲都区南明山街道绿谷大道309号6幢一层20-21
115,临沧易鑫体验店,云南省临沧市临翔区西河滨河北路1号
116,临沂易鑫体验店（河东区）,山东省临沂市河东区北京路与温泉路交汇（河东远通汽车超市院内）
117,临沂易鑫体验店（罗庄区）,山东省临沂市罗庄区盛庄街道湖东路52号华东二手车院内
118,临沂易鑫体验店（蒙山大道）,山东省临沂市蒙山大道与聚财路交汇东100米路南
119,柳州易鑫体验店（鱼峰区）,广西柳州市鱼峰区27号方盛汽贸园内
120,六安易鑫体验店,六安市解放南路锦绣华府西门75.76#106室
121,龙岩易鑫体验店（新罗区）,福建省龙岩市新罗区龙门镇物流大道91-3号店
122,泸州易鑫体验店,四川省泸州市江阳区蓝安路三段省心二手车市场内号7号展厅
123,洛阳易鑫体验店（廛河回族区）,河南省洛阳市廛河回族区九都路延长线
124,洛阳易鑫体验店（洛龙区）,洛阳市洛龙区龙门大道318号洛龙名车苑
125,洛阳易鑫体验店（王城大道）,河南省洛阳市王城大道25号心达二手车交易市场
126,漯河易鑫体验店,河南省漯河市桂江路龙和大酒店对面
127,茂名易鑫体验店,广东省茂名市高州市石仔岭街道乐天大转盘宏景汽车城内
128,绵阳易鑫体验店,四川省绵阳市科教创业园区柏杨街1号
129,牡丹江易鑫体验店,黑龙江省牡丹江市阳明区阳明一路66号
130,南昌易鑫体验店,江西省南昌市高新南大道618号
131,南充易鑫体验店（高坪区）,四川省南充市高坪区航空港东顺路三段118号
132,南充易鑫体验店（顺庆区）,四川省南充市顺庆区滨江中路三段58号
133,南京易鑫体验店（栖霞区）,江苏省南京市栖霞区幕府东路228号
134,南宁易鑫体验店（北湖国际汽车城）,广西南宁市北湖北路71号北湖国际汽车城三号广场C8号
135,南宁易鑫体验店（江南店）,广西省南宁市江南区白沙大道70号
136,南宁易鑫体验店（西乡塘区）,广西壮族自治区南宁市西乡塘区秀厢大道皂角村全车城B栋05-09号
137,南通易鑫体验店,江苏省南通市港闸区城港路99号
138,宁波易鑫体验店（江北区）,宁波市江北区环城北路344-346号
139,盘锦易鑫体验店,辽宁省盘锦市兴隆台区赵家开发区、工业街海马4S店东
140,平顶山易鑫体验店,平顶山市新华区平安大道四矿口西1000米路南
141,莆田易鑫体验店（城厢区）,莆田市城厢区华林工业园区
142,濮阳易鑫体验店（华龙区）,濮阳市华龙区胜利路化工路交叉口西北角
143,濮阳易鑫体验店（瑞璞汽车小镇）,河南省濮阳市106国道与胜利路交叉口东北角瑞璞汽车小镇
144,普宁易鑫体验店,广东省普宁市流沙北街道环城北路南园村路段
145,七台河易鑫体验店,黑龙江省七台河市桃山区环城路57号
146,齐齐哈尔易鑫体验店,黑龙江省齐齐哈尔市龙沙区喜庆路1号
147,青岛易鑫体验店（胶州市）,山东省胶州市站前大道中段（大道车城）
148,青岛易鑫体验店（李沧区）,山东省青岛市李沧区合川路19号（君泰二手车交易市场正门）
149,清远易鑫体验店,广东省清远市清城区广清大道横荷7号区8号大楼1-4铺
150,庆阳易鑫体验店,甘肃省庆阳市西峰区庆化大道中真管业北侧
151,曲靖易鑫体验店,云南省曲靖市经开区瑞和西路客运西站旁边
152,泉州易鑫体验店（晋江市）,福建省泉州市晋江市罗山街道福埔社区泉安南路晋江汽车交易市场内
153,泉州易鑫体验店（经济技术开发区）,福建省泉州经济技术开发区迎宾大道鸿盛汽车城1号展厅
154,泉州易鑫体验店（鲤城区）,福建省泉州市鲤城区南环路元宏路3号
155,日照易鑫体验店,山东省日照市奎山开发区车管所西侧
156,三明易鑫体验店,福建省三明市梅列区乾龙新村229幢1层6号
157,厦门易鑫体验店（思明区）,福建省厦门市思明区洪莲西路19号
158,厦门易鑫体验店（翔安区）,福建省厦门市翔安区马巷镇巷西路611号
159,汕头易鑫体验店（金平区）,汕头市潮汕路62号（潮汕路和金凤路交界）
160,商丘易鑫体验店（南京路）,商丘市睢阳区南京路与平原路交叉口东500米路南
161,商丘易鑫体验店（平原南路）,商丘市睢阳区平原南路1009号
162,上饶易鑫体验店（三清山西）,江西省上饶县三清山西大道月亮湾汽车城宝马路58号
163,韶关易鑫体验店,广东省韶关市浈江区韶南大道六公里家之福公交站旁
164,邵阳易鑫体验店（隆回县）,湖南省邵阳市隆回县城东南工业园（汽车产业园）
165,深圳易鑫体验店（南山区）,广东省深圳市南山区龙珠三路南山睿园产业园7栋首层
166,深圳易鑫体验店（南湾街道）,深圳市龙岗区南湾街道红棉路星际中心3号楼A1-A2
167,深圳易鑫体验店（平湖街道）,广东省深圳市龙岗区平湖街道中泰车后服务公园5栋
168,深圳易鑫体验店（坪山区）,深圳市坪山区坪山大道6109号一楼
169,沈阳易鑫体验店（北一西路）,辽宁省沈阳市铁西区北一西路35号
170,沈阳易鑫体验店（和平区）,辽宁省沈阳市和平区胜利大街北四马路16号4-5门
171,沈阳易鑫体验店（铁西区）,沈阳市铁西区保工北街18-3号
172,十堰易鑫体验店,十堰市张湾区浙江路万通工业园117-8号
173,石家庄易鑫体验店（西三庄街）,河北省石家庄市新华区西三庄街二手车市场9厅2号
174,石嘴山易鑫体验店,石嘴山市大武口区隆湖星光大道以南、规划路二号以西
175,松原易鑫体验店,吉林省松原市经济技术开发区西郭尔罗斯大路与万福街交汇处
176,苏州易鑫体验店（高新区）,苏州市高新区浩福路1号
177,绥化易鑫体验店,黑龙江省绥化北林市绥化市经济开发区六禾汽配城
178,随州易鑫体验店,随州市经济开发区星光一路金华汽车市场
179,塔城易鑫体验店,新疆省塔城市额敏县额敏镇额乌路3地段502号
180,台州易鑫体验店,浙江省台州市经济开发区开发大道399号德逸车之星A馆1号
181,太原易鑫体验店（小店区）,山西省太原市小店区太榆路198号
182,泰安易鑫体验店,山东省泰安市国际汽配城B区
183,唐山易鑫体验店,河北省唐山市开平区建华东道凤凰花卉西侧
184,天门易鑫体验店,湖北省天门市承天国际汽车城
185,通化易鑫体验店（梅河口市）,吉林省通化市梅河口市北环西路1777号
186,通辽易鑫体验店,通辽市经济技术开发区瑞丰汽贸物流园区L1区淘车体验店
187,桐乡易鑫体验店,桐乡铭豪二手车市场3幢1005号
188,铜仁易鑫体验店,贵州省铜仁市松桃县蓼皋镇汽车贸易城
189,威海易鑫体验店（环翠区）,威海市环翠区温泉镇金蚂蚁汽车广场16号厅
190,威海易鑫体验店（文登市）,山东省威海市文登区开发区办事处珠海路与世纪大道交叉口创业孵化基地南100米
191,潍坊易鑫体验店（奎文区）,山东省潍坊市奎文区潍州路552号北王汽配城南100米路西
192,温州易鑫体验店（翠微大道）,温州市翠微大道黄龙康城4组团15幢132室-133室
193,温州易鑫体验店（牛山北路）,温州市鹿城区牛山北路2号
194,温州易鑫体验店（瑞安市）,浙江省瑞安市塘下镇上金工业区104国道路口
195,乌兰察布易鑫体验店,乌兰察布市集宁新区车管所路东（奕翔汽车超市）
196,乌鲁木齐易鑫体验店（水磨沟区）,新疆乌鲁木齐市水磨沟区红光山路2669号彦成汽车主题公园9号馆
197,芜湖易鑫体验店（弋江区）,安徽省芜湖市弋江区奥韵康城4#楼06号
198,吴忠易鑫体验店,宁夏回族自治区吴忠市利通区世纪大道北侧国际汽车城二十号店20-4号
199,武汉易鑫体验店（和平汽车园）,湖北省武汉市洪山区仁和路和平汽车园特8号
200,武汉易鑫体验店（洪山区）,武汉市洪山区青菱街红霞村湖北绅宝三角旧机动车交易市场7号楼6—13号
201,武汉易鑫体验店（龙阳大道）,龙阳大道升官渡客运中心B1出口
202,武汉易鑫体验店（硚口区）,湖北省武汉市硚口区长丰大道888号爱之家二手车市场南5栋05-10号
203,西安易鑫体验店（国际车城店）,西安市未央区三桥西部国际车城西门口车管所对面
204,西安易鑫体验店（天台路）,陕西省西安市未央区天台路010号
205,西宁易鑫体验店（湟源县）,青海省西宁市湟源县大华镇315国道旁
206,西宁易鑫体验店（经济开发区）,青海省西宁市城东经济开发区民和路39号嘉荣华小区东门
207,锡林浩特易鑫体验店,锡林浩特市火车站北300米利丰汽车园区综合展厅
208,仙桃易鑫体验店,湖北省仙桃市仙洪北路21号仙桃汽车城7#楼1-7
209,咸宁易鑫体验店,湖北省咸宁市咸安区银泉大道97号
210,湘潭易鑫体验店,湖南省湘潭市高新区双马街道楚天路3号2栋
211,襄阳易鑫体验店,湖北省襄阳市襄州区春园东路西湾一巷
212,孝感易鑫体验店,湖北省孝感市孝南区澴川路东50米博导咨询园
213,新乡易鑫体验店（朗公庙镇）,河南省新乡市新乡县朗公庙镇107国际汽车城内1号厅
214,新郑易鑫体验店,河南省新郑市郑韩路与107国道交叉口向北200米路东
215,信阳易鑫体验店（平桥区）,河南省信阳市平桥区南京大道大柏树向东100米
216,邢台易鑫体验店,河北省邢台市桥东区龙岗大街邢台汽车城
217,兴安盟易鑫体验店,内蒙古自治区兴安盟乌兰浩特市融佳建材市场嘉尧汽贸城6号店
218,兴义易鑫体验店,贵州省兴义市坪东大道坪东国际汽贸城
219,徐州易鑫体验店,徐州市鼓楼区三环东路31号
220,烟台易鑫体验店（机场路）,山东省烟台市芝罘区机场路267-1
221,烟台易鑫体验店（莱州市）,莱州市城港南路1639号
222,烟台易鑫体验店（芝罘区）,山东省烟台市芝罘区区幸福南路10号交运二手车市场
223,延安易鑫体验店,延安市宝塔区柳林镇南二十里铺村林业小区旁
224,盐城易鑫体验店（城南新区）,江苏省盐城市城南新区通榆南路332号城南汽车交易中心内
225,伊宁易鑫体验店,新疆省伊犁州伊宁县胡地亚于乡交警队对面
226,宜昌易鑫体验店,湖北省宜昌市发展大道97号三峡企业总部重庆大厦一楼
227,宜春易鑫体验店,江西省宜春市袁州区环城西路鹏晟汽车公园五栋24-26号
228,义乌易鑫体验店,浙江省义乌市经发大道488号
229,益阳易鑫体验店（赫山区）,湖南省益阳市火车站鹿角园路中宇汽车世界
230,银川易鑫体验店（丽景北街）,宁夏银川市清和北街1058号（汽车城西门对面北侧）
231,银川易鑫体验店（清和北街）,宁夏银川市兴庆区109国道与贺兰山路交叉口绿地21城C区
232,永州易鑫体验店,宁远县东溪街道舜德社区舜阳大道（九嶷物流园）
233,榆林易鑫体验店（榆阳区）,陕西省榆林市榆阳区上郡南路（榆天化对面）
234,岳阳易鑫体验店,湖南省岳阳市经济开发区巴陵东路270号
235,运城易鑫体验店,山西运城姚孟车管所元通家园内淘车体验店
236,枣庄易鑫体验店（中区）,枣庄市中区人民西路7号
237,湛江易鑫体验店,广东省湛江市赤坎区东盛路7号海田国际车城Z区109号
238,张家口易鑫体验店,河北省张家口市高新区沙岭子镇屈家庄加油站北行50米路东
239,漳州易鑫体验店（龙文区）,福建省漳州市龙文区蓝田镇吉马国际汽车城A2-01-02单元
240,漳州易鑫体验店（漳浦县）,福建省漳州市漳浦县绥安经济开发区楼脚村73号（324国道旁）
241,长春易鑫体验店（朝阳区）,吉林省长春市朝阳区硅谷大街3366号
242,长春易鑫体验店（绿园区）,长春市普阳街2522号
243,长沙易鑫体验店（汽车世界）,湖南省长沙市星沙中南汽车世界A区06号
244,长沙易鑫体验店（雅塘村）,长沙市雨花区南二环222号
245,肇庆易鑫体验店,广东省肇庆市端州区砚都大道1号一品湖山5栋01号
246,镇江易鑫体验店,江苏省镇江市京口区经十二路662号
247,郑州易鑫体验店（花园北路）,河南省郑州市金水区花园北路56-1号
248,郑州易鑫体验店（金水区）,郑州市金水区花园路与天伦路交叉口向东300米路北
249,郑州易鑫体验店（经济开发区）,河南省郑州市经济技术开发区朝凤路与经北六路交叉口中福汽车城
250,中山易鑫体验店（东区）,广东省中山市东区城桂路16号
251,中山易鑫体验店（小榄镇）,广东省中山市小榄镇菊城大道405号永南汽车城内
252,周口易鑫体验店（淮阳县）,河南省周口市淮阳县周淮公路鸿庚汽车城
253,珠海易鑫体验店（上冲国际名车城）,珠海市华威路115号厂房1一楼102
254,珠海易鑫体验店（香洲区）,广东省珠海市香洲区敬业路117号
255,株洲易鑫体验店,株洲市荷塘区红旗中路55号（长安马自达隔壁）
256,驻马店易鑫体验店,河南省驻马店市驿城区文明路与纬四路交叉口向北200米路东
257,遵义易鑫体验店（汇川区）,贵州省遵义市汇川区董公寺汽车城汽博大厦B区
258,遵义易鑫体验店（绥阳县）,贵州省遵义市绥阳县洋川镇兴隆中学对面
259,遵义易鑫体验店（新蒲新区）,贵州省遵义市新蒲新区遵义职业技术学院实训西楼一层
